མཆན།	ཆོས་ཚན།	དབུ།	རྒྱབ་འདུན།	དབུ་ཤོག་ཐིག་གྲངས།	ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།	ཞབས།	རྒྱབ་འདུན།	ཞབས་ཀྱི་ཐིག་གྲངས།	ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།	ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།					
	1-20 གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།b_conc-corrected.txt	81	b	3	7	82	a	3	7	7					
	1-21 མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།_conc-corrected.txt	82	b	3	7	83	a	6	7	7					
	1-22 ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ།_conc-corrected.txt	83	a	6	7	83	b	5	7	7					
	1-23 དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ།_conc-corrected.txt	83	b	5	7	84	a	7	7	7					
	1-24 དགོངས་པའི་འགྲེལ་སྐད་ཀྱི་འགྲེལ་པ།_conc.txt	297	a	5	7	301	b	4	7	7					
	1-25 མཆན་ཁུང་གི་སྦྱོར་བ།_conc-corrected.txt	72	b	1	7	73	b	5	7	7					
ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	1-26 སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt	1	b	1	7	5	b	7	5	5					
	1-27 ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ།_conc-corrected.txt	6	a	1	7	6	b	5	7	7					
	1-28 དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།_conc-corrected.txt	156	a	5	7	58	a	2	7	7					
	1-29 དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt	247	b	7	7	250	b	4	7	7					
	1-3 འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།_conc-corrected.txt	68	b	4	7	69	b	4	7	7					
	1-30 དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt	250	b	4	7	251	a	7	7	7					
	1-31 ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།_conc.txt	268	a	3	7	268	b	1	7	7					
	1-32 དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt	268	b	1	7	269	a	7	7	7					
	1-33 རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།_conc-corrected.txt	274	a	6	7	275	a	5	7	7					
	1-34 དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ།_conc.txt	1	b	1	7	155	a	5	5	5					
	1-35 ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།_conc.txt	284	a	1	7	324	a	7	7	7					
	1-36 སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།_conc-corrected.txt	1	b	1	7	11	a	2	5	5					
	1-37 མདོ་དང་བསྲེས་པ།_conc.txt	11	a	2	7	15	b	1	7	7					
	1-38 དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག_conc-corrected.txt	15	b	1	7	35	a	7	7	7					
	1-39 དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt	35	a	7	7	38	a	5	7	7					
	1-4 སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།_conc-corrected.txt	69	b	5	7	70	a	2	7	7					
	1-40 བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།a_conc-corrected.txt	38	a	5	7	42	b	5	7	7					
	1-41 བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།b_conc-corrected.txt	42	b	5	7	45	a	5	7	7					
	1-43 རིམ་པ་ལྔ་པ།_conc-corrected.txt	45	a	5	7	57	a	1	7	7					
	1-48 རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག_conc.txt	64	a	1	7	70	a	3	7	7					
	1-49 ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།_conc-corrected.txt	70	a	3	7	74	a	1	7	7					
	1-5 དོན་དམ་པར་བསྟོད་པ།_conc-corrected.txt	70	a	2	7	70	b	2	7	7					
	1-50 དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།_conc-corrected.txt	147	b	4	7	168	b	1	7	7					
	1-52 སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས།_conc-corrected.txt	177	a	3	7	178	b	2	7	7					
	1-53 རབ་ཏུ་གནས་པའི་རྒྱན།_conc-corrected.txt	178	b	2	7	179	b	3	7	7					
	1-54 དངོས་པོ་སྦྱོང་བ་ཞེས་བྱ་བ།_conc-corrected.txt	127	b	1	7	128	a	6	7	7					
	1-55 རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ།_conc-corrected.txt	14	a	2	7	14	b	1	7	7					
ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	1-56 རྡོ་རྗེ་ཐེག་པའི་སྦོམ་པོའི་ལྟུང་བ།_conc-corrected.txt	180	a	7	7	180	b	3	7	7					
ཡིས། །འགྲོ་ Enter	1-57 ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས།_conc-corrected.txt	243	b	4	7	245	b	2	7	7					
	1-59 འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།_conc-corrected.txt	69	a	4	7	70	a	2	7	7					
	1-6 སྐུ་གསུམ་བསྟོད་པ།_conc-corrected.txt	70	b	3	7	71	a	2	7	7					
སྭཱ་ཧཱ། (འདིའི་བར་ནས་སྔགས་ཡིག་ཤོག་ངོས་གཅིག་དང་ཐིག་ཕྲེང་བཞི་ཆད་འདུག)གཟུངས་	1-60 འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།_conc.txt	114	b	2	7	122	b	1	7	7					
	1-61 འཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt	122	b	1	7	123	b	7	7	7					
	1-63 འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས།_conc-corrected.txt	191	b	1	7	192	a	1	7	7					
	1-64 གོས་སྔོན་པོ་ཅན་གྱི་དངོས་གྲུབ་ཉེ་བ།_conc-corrected.txt	207	a	1	7	207	b	4	7	7					
	1-65 གནོད་པ་སེལ་བའི་བདུད་རྩི།_conc-corrected.txt	207	b	4	7	208	a	2	7	7					
	1-66 རྡོ་རྗེ་བྱ་བ་པའི་ལས་ཚོགས།_conc-corrected.txt	208	a	2	7	208	a	6	7	7					
	1-67 ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt	208	a	6	7	208	b	6	7	7					
	1-68 རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།_conc-corrected.txt	105	b	6	7	107	b	2	7	7					
	1-69 འཕགས་མ་རིག་མ་ཆེན་མོ་སོ་སོར་འབྲང་མའི་འཁོར་ལོ།_conc-corrected.txt	216	a	2	7	217	b	5	7	7					
	1-7 སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།_conc-corrected.txt	71	a	2	7	74	b	3	7	7					
	1-70 རྟོག་པ་ལས་གསུངས་པའི་ལྷ་མོ་རིགས་བྱེད་མའི་སྒྲུབ་པའི་ཐབས།_conc-corrected.txt	42	b	3	7	44	a	2	7	7					
	1-71 རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt	136	b	3	7	137	a	7	7	7					
	1-72 རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt	164	b	2	7	165	a	1	7	7					
	1-73 སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།_conc.txt	194	a	4	7	194	b	4	7	7					
དབུ་ལ་མཚན་བྱང་དུ་ཞེན་ལོག་སྒྲོལ་མ་བཞུགས་ཞེས་པ་ཆད་འདུག	1-74 ཞེན་ལོག་སྒྲོན་མ་བཞུགས།_conc.txt	58	b	2	7	63	b	7	7	7					
	1-75 རྣམ་རྒྱལ་འཕགས་མའི་སྒྲུབ་ཐབས།_conc.txt	205	b	6	7	209	a	4	7	7					
	1-76 གཡུའི་ཐང་མ་ཀྲས་དགུ།_conc.txt	389	a	5	7	395	a	7	7	7					
འདི་སྣར་ཐང་དུ་བསྒྱུུར་དགོས།	1-77 བསྡུས་པའི་རིམ་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt	1	a	1	7	12	a	5	1	4	4	5	5	6	6
འདི་སྣར་ཐང་དུ་བསྒྱུུར་དགོས།	1-78 རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།_conc-corrected.txt	46	a	6	7	49	a	2	7	7					
	1-79 གནོད་སྦྱིན་མཁའ་འགྲོ་ཀུན་འཁྱིལ་རྟོགས་པ་ལས་བྱུང་བའི་གྭ་ཐབས།_conc.txt	205	b	2	7	206	a	7	7	7					
	1-8 སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།_conc-corrected.txt	74	b	3	7	75	b	1	7	7					
	1-80 དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།a_conc-corrected.txt	259	a	4	7	260	a	1	7	7					
	1-81 ཕྱག་ན་རྡོ་རྗེ་གཏུམ་པོ་ཆེན་པོ་ཁྲོས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།_conc-corrected.txt	135	a	6	7	137	b	1	7	7					
	1-82 ཐམས་ཅད་གྲུབ་པ་དཔལ་འཕེལ་ལྷ་མོ་ལ་བསྟོད་པ།_conc-corrected.txt	190	b	5	7	191	a	7	7	7					
	1-83 སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་ལ་བསྟོད་པ།_conc-corrected.txt	193	b	7	7	195	a	3	7	7					
	1-84 ནག་པོ་ཆེན་པོ་ཕྱག་བཞི་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt	15	a	2	7	16	a	1	7	7					
	1-85 གླང་པོ་རིན་པོ་ཆེ་ལ་ནོར་བླང་བའི་མན་ངག_conc-corrected.txt	76	a	5	7	78	a	2	7	7					
ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག་པ་མ་ཟད་དབུའི་མཚན་བྱང་ཆད་འདུག	1-87 དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།_conc-corrected.txt	1	b	1	7	19	a	6	5	5					
ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག།	1-88 རིགས་པ་དྲུག་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt	20	b	1	7	22	b	6	7	7					
	1-9 ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།_conc-corrected.txt	76	a	1	7	76	b	7	7	7					
	1-90 ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།_conc-corrected.txt	22	b	6	7	24	a	6	7	7					
	1-91 སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt	24	a	6	7	27	a	1	7	7					
	1-92 རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt	27	a	1	7	29	a	7	7	7					
	1-93 ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt	99	b	1	7	110	a	4	7	7					
	1-93 ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc.txt	99	b	1	7	110	a	4	7	7					
	1-94 སྟོང་པ་བདུན་ཅུ་པའི་འགྲེལ་པ།_conc-corrected.txt	110	a	4	7	121	a	4	7	7					
	1-95 རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།_conc.txt	121	a	4	7	137	a	7	7	7					
	1-97 ཐེག་པ་ཆེན་པོ་ཉི་ཤུ་པ།_conc-corrected.txt	137	b	1	7	138	a	7	7	7					
	1-98 ཡི་གེ་བརྒྱ་པ།_conc-corrected.txt	138	b	1	7	138	b	4	7	7					
	1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།_conc-corrected.txt	138	b	4	7	146	b	1	7	7					
	1-99 ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།_conc.txt	138	b	4	7	146	b	1	7	7					
	117 ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་རྒྱ་འགྲེལ།_conc.txt	194	a	2	7	202	a	6	7	7					
དབུའི་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག	118 ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།_conc-corrected.txt	77	a	3	7	79	b	2	7	7					
	120 ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ་ཞེས་བྱ་བ།_conc-corrected.txt	128	a	6	7	133	a	4	7	7					
དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག	145 ཉམ་གྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ།_conc-corrected.txt	83	a	1	7	85	b	6	7	7					
དབུའི་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག	149 དབང་གི་རིམ་པ་བསྟན་པ་ཞེས་བྱ་བ།_conc-corrected.txt	153	a	5	7	155	a	4	7	7					
སྣར་ཐང་ལ་བསྒྱུར་དགོས།	291 མགོན་པོ་བྱ་རོག་གདོང་གི་གཏོར་མདོས།_conc-corrected.txt	42	b	1	7	51	a	3	7	7					
	564 དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt	267	b	2	7	268	a	3	7	7					
	63 དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt	272	a	7	7	273	a	6	7	7					
	64 དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt	273	a	6	7	274	a	6	7	7					
